title,author,total_copies,available_copies,IBSN
Mystery Murder,Abdul Rahman,50,6,0001
How to become rich,Bob Rad,50,31,0002
The Lost Treasure,Samantha Greene,40,20,0003
Cooking for Beginners,John Smith,30,24,0004
Adventures in Space,Lily Johnson,45,37,0005
The Dark Forest,James Hunter,60,44,0006
Secrets of the Ocean,Emily Davis,55,50,0007
Time Travel Tales,Michael Clark,48,31,0008
Guide to Photography,Olivia Brown,35,29,0009
The Art of War,Sun Tzu,100,95,0010
Gardening Hacks,Emma Wilson,25,18,0011
The Power of Mindset,Rachel Adams,70,65,0012
Survival in the Wild,Peter Harris,40,30,0013
Building Your Brand,Kate Lee,35,27,0014
AI Revolution,Daniel Thompson,60,45,0015
Exploring the Cosmos,Amy White,45,33,0016
The Haunted Mansion,Chris Evans,50,40,0017
Mastering Chess,David Young,25,20,0018
Journey to the Unknown,Sarah Connor,60,46,0019
Breaking the Code,Joshua Lee,55,39,0020
